거래금액,거래유형,건물면적,건물주용도,건축년도,년,대지면적,매도자,매수자,법정동,시군구,용도지역,월,유형,일,중개사소재지,지번,지역코드,층,해제사유발생일,해제여부,구분
"19,000",중개거래,27.84,숙박,2008,2024,,개인,개인,역삼동,강남구,일반상업,6,집합,3,서울 서초구,701-1,11680,16,,,
"3,800,000",중개거래,2355.89,제1종근린생활,2003,2024,530.3,개인,법인,역삼동,강남구,제3종일반주거,6,일반,4,서울 강남구,6**,11680,,,,
"1,800,000",중개거래,1999.3,숙박,2011,2024,319,법인,개인,역삼동,강남구,일반상업,6,일반,10,경기 수원시팔달구,7**,11680,,24.07.15,O,
"870,000",중개거래,403.79,제2종근린생활,1991,2024,202.8,법인,법인,역삼동,강남구,제3종일반주거,6,일반,12,서울 강남구,6**,11680,,,,
"660,000",중개거래,323.38,제2종근린생활,1982,2024,212,개인,법인,역삼동,강남구,제2종일반주거,6,일반,12,서울 서초구,8**,11680,,,,
"6,700,000",직거래,6229.28,업무,2014,2024,703.7,개인,법인,역삼동,강남구,일반상업,6,일반,13,,7**,11680,,,,
"1,690,000",중개거래,1053.13,제2종근린생활,2004,2024,308.2,법인,개인,역삼동,강남구,제2종일반주거,6,일반,13,서울 강남구,8**,11680,,,,
"950,000",중개거래,325.77,제1종근린생활,1984,2024,419.1,법인,법인,역삼동,강남구,제1종전용주거,6,일반,13,서울 강남구,6**,11680,,,,
"1,030,000",중개거래,276.16,제2종근린생활,1987,2024,80.8,개인,법인,역삼동,강남구,제2종일반주거,6,일반,14,서울 강남구,8**,11680,,,,
"301,600",직거래,1493.16,제2종근린생활,,2024,75.22,개인,법인,역삼동,강남구,제3종일반주거,6,일반,17,,6**,11680,,,,지분
"19,000",중개거래,27.34,숙박,2008,2024,,개인,개인,역삼동,강남구,일반상업,6,집합,22,서울 서초구,701-1,11680,16,,,
"19,000",중개거래,27.84,숙박,2008,2024,,개인,개인,역삼동,강남구,일반상업,6,집합,22,서울 서초구,701-1,11680,16,24.07.24,O,
"19,000",중개거래,27.84,숙박,2008,2024,,개인,개인,역삼동,강남구,일반상업,6,집합,22,서울 서초구,701-1,11680,16,24.07.25,O,
"19,000",중개거래,27.84,숙박,,2024,,개인,개인,역삼동,강남구,일반상업,6,집합,22,서울 서초구,701-1,11680,16,24.07.23,O,
"2,000,000",중개거래,1427.03,교육연구,2003,2024,519.6,법인,법인,역삼동,강남구,제3종일반주거,6,일반,24,서울 강남구,6**,11680,,,,
"160,000",중개거래,85.99,제1종근린생활,2005,2024,,개인,법인,역삼동,강남구,일반상업,6,집합,25,"부산 남구, 서울 강남구",821,11680,13,,,
"1,332,929",직거래,620.32,업무,1994,2024,,법인,법인,역삼동,강남구,일반상업,6,집합,26,,648-19,11680,1,,,
"1,332,929",직거래,620.32,업무,1994,2024,,법인,법인,역삼동,강남구,일반상업,6,집합,26,,648-19,11680,16,,,
"1,332,929",직거래,620.32,업무,1994,2024,,법인,법인,역삼동,강남구,일반상업,6,집합,26,,648-19,11680,1,,,
"1,332,929",직거래,620.32,업무,1994,2024,,법인,법인,역삼동,강남구,일반상업,6,집합,26,,648-19,11680,1,,,
"1,332,929",직거래,620.32,업무,1994,2024,,법인,법인,역삼동,강남구,일반상업,6,집합,26,,648-19,11680,2,,,
